experiment_id,game_index,turn_number,placement_number,mover,target,target_type,supply_source
"uct-30000-self-play","5","1","1","1","S23","supply",""
"uct-30000-self-play","5","1","2","1","S33","supply",""
"uct-30000-self-play","5","1","3","1","S13","supply",""
"uct-30000-self-play","5","2","1","2","S23","supply",""
"uct-30000-self-play","5","2","2","2","S13","supply",""
"uct-30000-self-play","5","2","3","2","S32","supply",""
"uct-30000-self-play","5","3","1","1","O23","objective","S33"
"uct-30000-self-play","5","3","2","1","S23","supply",""
"uct-30000-self-play","5","3","3","1","S13","supply",""
"uct-30000-self-play","5","4","1","2","S23","supply",""
"uct-30000-self-play","5","4","2","2","S23","supply",""
"uct-30000-self-play","5","4","3","2","S22","supply",""
"uct-30000-self-play","5","5","1","1","O23","objective","S33"
"uct-30000-self-play","5","5","2","1","O03","objective","S13"
"uct-30000-self-play","5","5","3","1","S22","supply",""
"uct-30000-self-play","5","6","1","2","S33","supply",""
"uct-30000-self-play","5","6","2","2","O22","objective","S23"
"uct-30000-self-play","5","6","3","2","O22","objective","S32"
"uct-30000-self-play","5","7","1","1","O03","objective","S13"
"uct-30000-self-play","5","7","2","1","S33","supply",""
"uct-30000-self-play","5","7","3","1","S32","supply",""
"uct-30000-self-play","5","8","1","2","O22","objective","S23"
"uct-30000-self-play","5","8","2","2","S33","supply",""
"uct-30000-self-play","5","8","3","2","S13","supply",""
"uct-30000-self-play","5","9","1","1","S33","supply",""
"uct-30000-self-play","5","9","2","1","S13","supply",""
"uct-30000-self-play","5","9","3","1","S24","supply",""
"uct-30000-self-play","5","10","1","2","O12","objective","S23"
"uct-30000-self-play","5","10","2","2","S12","supply",""
"uct-30000-self-play","5","10","3","2","S31","supply",""
"uct-30000-self-play","5","11","1","1","O03","objective","S13"
"uct-30000-self-play","5","11","2","1","O23","objective","S24"
"uct-30000-self-play","5","11","3","1","S12","supply",""
"uct-30000-self-play","5","12","1","2","O12","objective","S23"
"uct-30000-self-play","5","12","2","2","O21","objective","S31"
"uct-30000-self-play","5","12","3","2","S22","supply",""
"uct-30000-self-play","5","13","1","1","O13","objective","S13"
"uct-30000-self-play","5","13","2","1","O13","objective","S24"
"uct-30000-self-play","5","13","3","1","O33","objective","S33"
"uct-30000-self-play","5","14","1","2","O21","objective","S31"
"uct-30000-self-play","5","14","2","2","O21","objective","S22"
"uct-30000-self-play","5","14","3","2","O12","objective","S23"
"uct-30000-self-play","5","15","1","1","O13","objective","S24"
"uct-30000-self-play","5","15","2","1","O33","objective","S33"
"uct-30000-self-play","5","15","3","1","O02","objective","S13"
"uct-30000-self-play","5","16","1","2","O11","objective","S22"
"uct-30000-self-play","5","16","2","2","O31","objective","S31"
"uct-30000-self-play","5","16","3","2","S21","supply",""
"uct-30000-self-play","5","17","1","1","O33","objective","S33"
"uct-30000-self-play","5","17","2","1","S21","supply",""
"uct-30000-self-play","5","17","3","1","O02","objective","S13"
"uct-30000-self-play","5","18","1","2","O11","objective","S22"
"uct-30000-self-play","5","18","2","2","O31","objective","S31"
"uct-30000-self-play","5","18","3","2","S42","supply",""
"uct-30000-self-play","5","19","1","1","O02","objective","S13"
"uct-30000-self-play","5","19","2","1","S22","supply",""
"uct-30000-self-play","5","19","3","1","S31","supply",""
"uct-30000-self-play","5","20","1","2","O31","objective","S42"
"uct-30000-self-play","5","20","2","2","S22","supply",""
"uct-30000-self-play","5","20","3","2","S11","supply",""
"uct-30000-self-play","5","21","1","1","O32","objective","S33"
"uct-30000-self-play","5","21","2","1","S11","supply",""
"uct-30000-self-play","5","21","3","1","S42","supply",""
"uct-30000-self-play","5","22","1","2","O11","objective","S22"
"uct-30000-self-play","5","22","2","2","S11","supply",""
"uct-30000-self-play","5","22","3","2","S31","supply",""
"uct-30000-self-play","5","23","1","1","O32","objective","S33"
"uct-30000-self-play","5","23","2","1","S31","supply",""
"uct-30000-self-play","5","23","3","1","S41","supply",""
"uct-30000-self-play","5","24","1","2","S41","supply",""
"uct-30000-self-play","5","24","2","2","O00","objective","S11"
"uct-30000-self-play","5","24","3","2","S02","supply",""
