experiment_id,game_index,turn_number,placement_number,mover,target,target_type,supply_source
"uct-100000-self-play","1","1","1","1","S23","supply",""
"uct-100000-self-play","1","1","2","1","S33","supply",""
"uct-100000-self-play","1","1","3","1","S32","supply",""
"uct-100000-self-play","1","2","1","2","S33","supply",""
"uct-100000-self-play","1","2","2","2","S31","supply",""
"uct-100000-self-play","1","2","3","2","S23","supply",""
"uct-100000-self-play","1","3","1","1","O22","objective","S32"
"uct-100000-self-play","1","3","2","1","S22","supply",""
"uct-100000-self-play","1","3","3","1","S33","supply",""
"uct-100000-self-play","1","4","1","2","S33","supply",""
"uct-100000-self-play","1","4","2","2","S33","supply",""
"uct-100000-self-play","1","4","3","2","S22","supply",""
"uct-100000-self-play","1","5","1","1","O22","objective","S32"
"uct-100000-self-play","1","5","2","1","S22","supply",""
"uct-100000-self-play","1","5","3","1","S23","supply",""
"uct-100000-self-play","1","6","1","2","O20","objective","S31"
"uct-100000-self-play","1","6","2","2","S22","supply",""
"uct-100000-self-play","1","6","3","2","O33","objective","S33"
"uct-100000-self-play","1","7","1","1","O22","objective","S23"
"uct-100000-self-play","1","7","2","1","S31","supply",""
"uct-100000-self-play","1","7","3","1","O31","objective","S32"
"uct-100000-self-play","1","8","1","2","O33","objective","S33"
"uct-100000-self-play","1","8","2","2","S31","supply",""
"uct-100000-self-play","1","8","3","2","S32","supply",""
"uct-100000-self-play","1","9","1","1","S31","supply",""
"uct-100000-self-play","1","9","2","1","S31","supply",""
"uct-100000-self-play","1","9","3","1","S13","supply",""
"uct-100000-self-play","1","10","1","2","O33","objective","S33"
"uct-100000-self-play","1","10","2","2","S21","supply",""
"uct-100000-self-play","1","10","3","2","S12","supply",""
"uct-100000-self-play","1","11","1","1","O31","objective","S31"
"uct-100000-self-play","1","11","2","1","O12","objective","S23"
"uct-100000-self-play","1","11","3","1","O12","objective","S13"
"uct-100000-self-play","1","12","1","2","O20","objective","S21"
"uct-100000-self-play","1","12","2","2","O32","objective","S33"
"uct-100000-self-play","1","12","3","2","O11","objective","S12"
"uct-100000-self-play","1","13","1","1","O31","objective","S31"
"uct-100000-self-play","1","13","2","1","O12","objective","S13"
"uct-100000-self-play","1","13","3","1","S21","supply",""
"uct-100000-self-play","1","14","1","2","O11","objective","S12"
"uct-100000-self-play","1","14","2","2","O32","objective","S33"
"uct-100000-self-play","1","14","3","2","S30","supply",""
"uct-100000-self-play","1","15","1","1","S12","supply",""
"uct-100000-self-play","1","15","2","1","S30","supply",""
"uct-100000-self-play","1","15","3","1","S21","supply",""
"uct-100000-self-play","1","16","1","2","O32","objective","S33"
"uct-100000-self-play","1","16","2","2","S21","supply",""
"uct-100000-self-play","1","16","3","2","S21","supply",""
"uct-100000-self-play","1","17","1","1","O13","objective","S13"
"uct-100000-self-play","1","17","2","1","O13","objective","S23"
"uct-100000-self-play","1","17","3","1","O30","objective","S31"
"uct-100000-self-play","1","18","1","2","O20","objective","S21"
"uct-100000-self-play","1","18","2","2","S23","supply",""
"uct-100000-self-play","1","18","3","2","S13","supply",""
"uct-100000-self-play","1","19","1","1","O30","objective","S31"
"uct-100000-self-play","1","19","2","1","S23","supply",""
"uct-100000-self-play","1","19","3","1","S13","supply",""
"uct-100000-self-play","1","20","1","2","O11","objective","S21"
"uct-100000-self-play","1","20","2","2","O23","objective","S33"
"uct-100000-self-play","1","20","3","2","S24","supply",""
"uct-100000-self-play","1","21","1","1","O30","objective","S31"
"uct-100000-self-play","1","21","2","1","O13","objective","S23"
"uct-100000-self-play","1","21","3","1","O03","objective","S13"
"uct-100000-self-play","1","22","1","2","O23","objective","S24"
"uct-100000-self-play","1","22","2","2","O23","objective","S33"
"uct-100000-self-play","1","22","3","2","O21","objective","S21"
"uct-100000-self-play","1","23","1","1","O02","objective","S13"
"uct-100000-self-play","1","23","2","1","O21","objective","S31"
"uct-100000-self-play","1","23","3","1","S20","supply",""
"uct-100000-self-play","1","24","1","2","S34","supply",""
"uct-100000-self-play","1","24","2","2","S42","supply",""
"uct-100000-self-play","1","24","3","2","S02","supply",""
