experiment_id,game_index,turn_number,placement_number,mover,target,target_type,supply_source
"uct-30000-self-play","6","1","1","1","S23","supply",""
"uct-30000-self-play","6","1","2","1","S13","supply",""
"uct-30000-self-play","6","1","3","1","S31","supply",""
"uct-30000-self-play","6","2","1","2","S23","supply",""
"uct-30000-self-play","6","2","2","2","S11","supply",""
"uct-30000-self-play","6","2","3","2","S21","supply",""
"uct-30000-self-play","6","3","1","1","S11","supply",""
"uct-30000-self-play","6","3","2","1","S21","supply",""
"uct-30000-self-play","6","3","3","1","O20","objective","S31"
"uct-30000-self-play","6","4","1","2","S31","supply",""
"uct-30000-self-play","6","4","2","2","S21","supply",""
"uct-30000-self-play","6","4","3","2","S31","supply",""
"uct-30000-self-play","6","5","1","1","S21","supply",""
"uct-30000-self-play","6","5","2","1","S21","supply",""
"uct-30000-self-play","6","5","3","1","O12","objective","S13"
"uct-30000-self-play","6","6","1","2","O31","objective","S31"
"uct-30000-self-play","6","6","2","2","S32","supply",""
"uct-30000-self-play","6","6","3","2","S22","supply",""
"uct-30000-self-play","6","7","1","1","O12","objective","S13"
"uct-30000-self-play","6","7","2","1","O20","objective","S21"
"uct-30000-self-play","6","7","3","1","S32","supply",""
"uct-30000-self-play","6","8","1","2","O31","objective","S31"
"uct-30000-self-play","6","8","2","2","O21","objective","S22"
"uct-30000-self-play","6","8","3","2","S13","supply",""
"uct-30000-self-play","6","9","1","1","O20","objective","S21"
"uct-30000-self-play","6","9","2","1","S31","supply",""
"uct-30000-self-play","6","9","3","1","S12","supply",""
"uct-30000-self-play","6","10","1","2","S31","supply",""
"uct-30000-self-play","6","10","2","2","O21","objective","S22"
"uct-30000-self-play","6","10","3","2","S12","supply",""
"uct-30000-self-play","6","11","1","1","S12","supply",""
"uct-30000-self-play","6","11","2","1","O11","objective","S21"
"uct-30000-self-play","6","11","3","1","S13","supply",""
"uct-30000-self-play","6","12","1","2","O31","objective","S31"
"uct-30000-self-play","6","12","2","2","S12","supply",""
"uct-30000-self-play","6","12","3","2","S13","supply",""
"uct-30000-self-play","6","13","1","1","O11","objective","S21"
"uct-30000-self-play","6","13","2","1","S12","supply",""
"uct-30000-self-play","6","13","3","1","S13","supply",""
"uct-30000-self-play","6","14","1","2","O21","objective","S22"
"uct-30000-self-play","6","14","2","2","O30","objective","S31"
"uct-30000-self-play","6","14","3","2","S23","supply",""
"uct-30000-self-play","6","15","1","1","O12","objective","S13"
"uct-30000-self-play","6","15","2","1","O11","objective","S21"
"uct-30000-self-play","6","15","3","1","O02","objective","S12"
"uct-30000-self-play","6","16","1","2","O30","objective","S31"
"uct-30000-self-play","6","16","2","2","O22","objective","S22"
"uct-30000-self-play","6","16","3","2","O22","objective","S23"
"uct-30000-self-play","6","17","1","1","O02","objective","S12"
"uct-30000-self-play","6","17","2","1","O02","objective","S13"
"uct-30000-self-play","6","17","3","1","O10","objective","S21"
"uct-30000-self-play","6","18","1","2","O30","objective","S31"
"uct-30000-self-play","6","18","2","2","O22","objective","S22"
"uct-30000-self-play","6","18","3","2","O23","objective","S23"
"uct-30000-self-play","6","19","1","1","O01","objective","S12"
"uct-30000-self-play","6","19","2","1","O03","objective","S13"
"uct-30000-self-play","6","19","3","1","S23","supply",""
"uct-30000-self-play","6","20","1","2","S23","supply",""
"uct-30000-self-play","6","20","2","2","S33","supply",""
"uct-30000-self-play","6","20","3","2","S24","supply",""
"uct-30000-self-play","6","21","1","1","S33","supply",""
"uct-30000-self-play","6","21","2","1","S24","supply",""
"uct-30000-self-play","6","21","3","1","O10","objective","S21"
"uct-30000-self-play","6","22","1","2","O23","objective","S23"
"uct-30000-self-play","6","22","2","2","S34","supply",""
"uct-30000-self-play","6","22","3","2","S11","supply",""
"uct-30000-self-play","6","23","1","1","O10","objective","S21"
"uct-30000-self-play","6","23","2","1","S34","supply",""
"uct-30000-self-play","6","23","3","1","S44","supply",""
"uct-30000-self-play","6","24","1","2","S43","supply",""
"uct-30000-self-play","6","24","2","2","S03","supply",""
"uct-30000-self-play","6","24","3","2","O13","objective","S23"
